salary,city,post_time,max_salary,url,company,title,min_salary
10000-14999/月,上海,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",上海动艺网络科技有限公司,python开发工程师,10000
10000-20000/月,异地招聘,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",江苏先飞信息技术有限公司,python爬虫开发工程师,10000
,惠州,12-30,,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",惠州酷友网络科技有限公司,Python工程师,
8000-9999/月,无锡,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",新钶科技（无锡）有限公司,python工程师,8000
1-10000/月,北京-通州区,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",北京旗渡锦程翻译有限公司,Python工程师（爬虫方向）,1
10000-20000/月,上海,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",上海德必文化创意产业发展（集团）...,Python工程师,10000
6000-12000/月,南京-浦口区,12-30,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",江苏瑞银产业,python开发工程师,6000
5000-10000/月,广州-天河区,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",优能天才教育集团,初级数据开发工程师(Python),5000
12000-18000/月,成都,12-30,18000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",成都乐动信息技术有限公司（咕咚）,后端开发工程师(C++/GO/Python  咕咚APP),12000
8000-9999/月,上海-闵行区,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",上海海得控制系统股份有限公司,Python 软件工程师,8000
4000-7000/月,重庆,12-30,7000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",重庆维普资讯有限公司,python研发工程师,4000
10000-20000/月,深圳-福田区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",深圳市安般科技有限公司,Python前端/后端开发工程师,10000
6000-7999/月,上海-闵行区,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",上海跃海信息科技有限公司,运维开发工程师（Python）,6000
12-20/月,北京,12-30,20,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",慕华（北京）网络技术有限公司,Python 开发工程师,12
6000-12000/月,北京,12-31,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",中讯志远（武汉）科技有限公司,Python工程师,6000
8000-9999/月,北京,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",北京阿提拉科技有限公司,Python开发工程师,8000
