salary,city,post_time,max_salary,url,company,title,min_salary
10000-14999/月,上海,01-01,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",上海广拓信息技术有限公司,C++软件工程师,10000
4500-5999/月,上海,01-01,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",中软科技（上海）,程序猿Android/java/C++/测试/web/学徒+（助理在招）,4500
10000-20000/月,北京,01-01,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",北京中油瑞飞信息技术有限责任公司,软件开发工程师(C++)（东城区）,10000
6000-7999/月,南京-玄武区,01-01,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",上海怡胜信息科技有限公司,C/C++ 软件开发工程师,6000
,上海-徐汇区,01-01,,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",延锋汽车内饰系统（上海）有限公司,C&B Analysis,
3500-5500/月,武汉-青山区,01-01,5500,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",中软卓越科技集团,应届IT带薪实习/web/c#/java/测试双休+五险,3500
10000-14000/月,广州-天河区,01-01,14000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",广州中望龙腾软件股份有限公司,C++开发工程师,10000
3500-6500/月,深圳-龙岗区,01-01,6500,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",深圳市德玛特贸易有限公司,B2C跨境电商业务员,3500
8000-9999/月,南京,01-01,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,6.html",苏州俊盟科技有限公司南京分公司,C++开发,8000
6000-7999/月,武汉,01-01,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,7.html",武汉孜孜网络技术有限公司,C++开发工程师,6000
8000-15000/月,上海-徐汇区,01-01,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,7.html",上海业奥通讯系统有限公司,C++研发工程师 Software Engineer,8000
8000-13000/月,广州-天河区,01-01,13000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",广州市英维网络科技有限公司,C#软件工程师（中级）,8000
20000-24999/月,北京,01-01,24999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",卓曜（北京）科技有限公司,C++软件设计工程师,20000
8000-12000/月,广州,01-01,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",北京云房数据技术有限责任公司广州...,C#软件工程师,8000
6000-7999/月,北京-海淀区,01-01,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",北京德法利投资有限公司,C/C++开发工程师,6000
6000-7999/月,西安,01-01,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",陕西昌大信息技术有限公司,C/C++软件工程师,6000
4500-5999/月,上海-静安区,01-01,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",上海经科信息技术有限公司,NET （C#）   软件工程师,4500
10000-14999/月,西安,01-01,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,5.html",西安凯虹电子科技有限公司,c++、c#软件工程师,10000
10000-14999/月,北京,01-01,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",北京四维益友信息技术有限公司,c++高级软件开发工程师,10000
8000-9999/月,成都,01-01,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",四川链家房地产经纪有限公司,链家房地产c应届/实习+无责任底薪4000+1万人大平台,8000
3000-15000/月,异地招聘,01-01,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",大连京桥泰克信息技术有限公司,C语言建模开发工程师,3000
5000-8000/月,上海-宝山区,01-01,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",上海为课网络科技有限公司,c4d讲师可***,5000
3500-6000/月,苏州-工业园区,01-01,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",太湖雪丝绸股份有限公司,亚马逊Amazon/Ebay/速卖通/b2C客服/助理,3500
3500-5500/月,武汉-洪山区,01-01,5500,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,2.html",赛博在线科技集团,初级IT/ iOS、PHP、c++、.net 开发,3500
