salary,city,post_time,title,url,company
6000-7999/月,上海-闵行区,12-31,运维开发工程师（Python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",上海跃海信息科技有限公司
10000-14999/月,上海,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",上海动艺网络科技有限公司
10000-14999/月,北京-东城区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京东方金信科技有限公司
10000-14999/月,广州-番禺区,12-30,Python/Django开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",广州市天诺营销策划有限公司
15000-19999/月,北京,12-30,Python,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",小叶子（北京）科技有限公司
15000-25000/月,上海-浦东新区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",上海方付通商务服务有限公司
8000-20000/月,上海-闵行区,12-30,Java/Python服务器后台开发,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",合家科技（上海）有限公司
8000-10000/月,北京,12-30,后台python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京睿朗阳光网络科技有限公司
8000+ /月,杭州-西湖区,12-30,Python开发,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",杭州海适云承科技有限公司
10000-14999/月,异地招聘,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",国云科技股份有限公司
25000-29999/月,北京-海淀区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",智课教育科技
5000-10000/月,珠海,12-30,Python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",深圳市普智正元科技传媒有限公司
7000-12000/月,深圳,12-30,Python服务器端工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",深圳联金所金融信息服务有限公司
8000-15000/月,上海-浦东新区,12-30,python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",上海云逐信息技术有限公司
10000-20000/月,广州-天河区,12-31,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",广州拓衡信息科技有限公司
5000-7000/月,广州-天河区,12-31,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",广州市小蛋壳文化传播有限责任公司
15000-30000/月,上海-长宁区,12-30,Python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",上海岂安信息科技有限公司
6000-15000/月,上海-普陀区,12-30,python 开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",盘石软件（上海）有限公司
10000-20000/月,异地招聘,12-30,python爬虫开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",江苏先飞信息技术有限公司
,惠州,12-30,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",惠州酷友网络科技有限公司
8000-9999/月,无锡,12-30,python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",新钶科技（无锡）有限公司
10-15万/年,苏州,12-30,软件开发/Python 工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",健路生物科技（苏州）有限公司
1-10000/月,北京-通州区,12-30,Python工程师（爬虫方向）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",北京旗渡锦程翻译有限公司
5000-10000/月,广州-天河区,12-30,初级数据开发工程师(Python),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",优能天才教育集团
12000-18000/月,成都,12-30,后端开发工程师(C++/GO/Python  咕咚APP),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",成都乐动信息技术有限公司（咕咚）
6000-12000/月,北京,12-31,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",中讯志远（武汉）科技有限公司
8000-9999/月,北京,12-31,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",北京阿提拉科技有限公司
12-20/月,北京,12-30,Python 开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",慕华（北京）网络技术有限公司
20000-30000/月,上海-浦东新区,12-30,Python高级开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",新达达
20000-24999/月,杭州-西湖区,12-30,Python后台开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",浙江伊尚时尚科技有限公司
10000-14999/月,北京-海淀区,12-30,python开发工程师（后台）-长椿街-wx,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京联想利泰软件有限公司
10000-14999/月,北京,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京世纪鹤图软件技术有限责任公司
4000-5000/月,成都,12-30,诚招python开发实习生,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京晟元亿讯科技有限公司
8000-12000/月,北京-东城区,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京上宁思科技发展有限公司
6000-7999/月,北京-西城区,12-30,python/matlab风险管理,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京蜂赢国际投资管理有限公司
10000-25000/月,深圳-南山区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",深圳市你我金融信息服务股份有限公司
7000-14000/月,宁波,12-30,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",乐歌人体工学科技股份有限公司
10000-14999/月,北京-东城区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",北京软通合力信息技术有限公司
10000-25000/月,上海,12-30,高级后端Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",宏居网络技术（上海）有限公司
15000-19999/月,上海-浦东新区,12-30,测试开发工程师（C++/python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",上海墨鹍数码科技有限公司
8000-15000/月,苏州,12-30,Python自动化开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",苏州华冠科技有限公司
6000-8000/月,广州,12-30,云计算工程师(Python),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",广州优亿信息科技有限公司
15000-19999/月,广州,12-30,测试开发工程师（Python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",陌奈信息科技（上海）有限公司
10000-15000/月,天津-和平区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",融合通信技术（天津）有限公司
8000-20000/月,广州-萝岗区,12-30,Python后台开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",广州市铂云网络科技有限公司
15000-19999/月,广州-天河区,12-31,python/c工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",广州杰颉软件科技有限公司
10000-20000/月,上海-浦东新区,12-31,Python开发工程师（数据采集）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",上海创造科技创新研究促进中心
10000-14999/月,合肥,12-31,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",若尔丹（上海）软件开发有限公司
6-8万/年,济南-高新区,12-31,python程序员,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",山东远思信息科技有限公司
6000-12000/月,成都,12-31,Python开发工程师（大数据）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",深圳市博雅成信金融服务有限公司
20000-30000/月,北京-朝阳区,12-31,Python高级研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,1.html",北京汇游科技有限公司
8000+ /月,上海,12-30,互联网软件开发工程师(python方向),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",艾柏克包装品（深圳）有限公司
1500以下/月,福州,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",福建新大陆电脑股份有限公司
10000-20000/月,上海-长宁区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",上海寰享网络科技有限公司
10000-20000/月,北京-东城区,12-30,c++ python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",南凌科技股份有限公司
8000-9999/月,成都,12-30,Python 开发程序员,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",思应科技
10000-20000/月,上海-浦东新区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,5.html",上海动景眼镜集团有限公司
15000-19999/月,长沙-岳麓区,12-29,python(golang服务端开发),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,11.html",长沙趣找网络科技有限公司
8000-9999/月,上海-闵行区,12-30,Python 软件工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",上海海得控制系统股份有限公司
4000-7000/月,重庆,12-30,python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",重庆维普资讯有限公司
10000-14999/月,异地招聘,12-30,python开发（上海长宁区）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",南京泉点商务服务有限公司
10000-14999/月,广州,12-30,Python,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",广州市两棵树网络科技有限公司
8000-20000/月,北京-丰台区,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,7.html",尚正（北京）信息技术有限公司
20000-30000/月,北京-通州区,12-31,python高级工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",诚信贷
15000-25000/月,北京,12-31,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",北京天行汇通信息技术有限公司
15000-25000/月,北京,12-31,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",北京捷通华声科技股份有限公司
10000-14999/月,成都,12-31,python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",高伟达软件股份有限公司
8000-9999/月,西安-高新技术...,12-31,python开发工程师（ROS）(J10395),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",绿盟科技
7000-10000/月,北京-海淀区,12-31,python爬虫工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",北京神鹰城讯科技股份有限公司
15000-19999/月,上海,12-31,php或python程序员（数据程序员）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,2.html",上海豆壳信息科技有限公司
15000-19999/月,上海-虹口区,12-30,python开发工程师-上海-00095,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",通联数据股份公司
10000-20000/月,北京-海淀区,12-30,研发工程师（Python/Java）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",上海易鑫融资租赁有限公司
5000-10000/月,上海-闵行区,12-30,初级或中级Python 工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",趣送信息技术（上海）有限公司
8000-9999/月,南京-江宁区,12-30,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",上海如旺电子商务有限公司
15000-20000/月,广州,12-30,Python高级工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,4.html",广州德利信息科技有限公司
7000-12000/月,成都-武侯区,12-30,python高级工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",四川神琥科技有限公司
6000-8000/月,上海,12-30,服务器工程师(python、php),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",上海扬讯计算机科技有限责任公司
3000-7000/月,青岛-市南区,12-30,Python/Ruby软件开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",青岛青软科技有限公司
13000-25000/月,北京,12-30,Python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",北京格上理财顾问有限公司
20000-30000/月,杭州,12-30,web/Python全栈工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",浙江亿教亿学网络科技有限公司
15000-19999/月,北京-海淀区,12-30,python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,8.html",北京并行科技股份有限公司
10000-14999/月,上海-卢湾区,12-27,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,12.html",上海同济先声网络科技有限公司
15000-25000/月,上海,12-27,高级PHP开发工程师（需懂些Python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,12.html",上海好体信息科技有限公司
5000-10000/月,成都-青羊区,12-15,Python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",四川和邦股份有限公司
6000-7999/月,苏州-工业园区,12-30,Python服务端（游戏）开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",苏州爱洛克信息技术有限公司
10000-14999/月,上海-闵行区,12-30,python研发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",上海美泊汽车服务有限公司
10-15万/年,上海,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",上海天玑数据技术有限公司
15000-19999/月,上海-长宁区,12-30,Python后端开发,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",学慧帮（上海）企业管理咨询有限公司
15000-30000/月,北京-朝阳区,12-30,高级python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京新工场投资顾问有限公司
10000-14999/月,北京-朝阳区,12-30,Python工程师(数据分析方向),"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京聚思信息咨询有限公司
15000-19999/月,上海-浦东新区,12-26,Python/Go工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",上海思华科技股份有限公司
3000-5000/月,沈阳-和平区,12-30,软件开发工程师——python/java方向,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",百度沈阳地区营销服务中心
6000-7999/月,北京-海淀区,12-30,Python软件工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",三和智控（北京）系统集成有限公司
8000-9999/月,长春,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",长春市才库管理咨询有限公司
8-12/月,上海-嘉定区,12-30,上海分公司_高级软件工程师（Python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",百度在线网络技术（北京）有限公司...
6000-7999/月,福州-马尾区,12-30,PYTHON 开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",福建星云电子股份有限公司
4000-8000/月,嘉兴,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",中航信华东数据中心有限责任公司
5000-15000/月,无锡-崇安区,12-30,软件工程师-Python,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,3.html",无锡中科恒源信息科技有限公司
