salary,city,post_time,max_salary,url,company,title,min_salary
4500-5999/月,杭州,12-29,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",人本集团有限公司,IT审计员,4500
4500-5999/月,广州-越秀区,12-29,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",广州泰恒盛世贸易有限公司,审计员/主管,4500
3000-5000/月,北京-丰台区,12-29,5000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",北京财智税华税务师事务所有限责任...,审计员,3000
3000-4499/月,长春-经济技术...,12-29,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",吉林鼎邦资产管理有限公司,审计员,3000
4000-7000/月,广州,12-29,7000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",广州市香雪制药股份有限公司,质量审计员,4000
6000-9000/月,深圳-南山区,12-29,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",深圳市华商联物流报关有限公司,审计员,6000
4500-5999/月,南京,12-29,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",南京华脉科技股份有限公司,审计员,4500
10000-14999/月,江门,12-23,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",江门阿提卡商务服务有限公司,Supplier Quality Auditor 供应商质量审计员,10000
15000-19999/月,上海-黄浦区,12-23,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",立信会计师事务所（特殊普通合伙）,高级审计员,15000
3000-4499/月,济南,12-23,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",山东匡山集团有限责任公司,审计员,3000
2000-2999/月,长沙,12-30,2999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",中兴华会计师事务所（特殊普通合伙...,审计员,2000
3000-4499/月,异地招聘,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",康美药业股份有限公司,综合审计员（工作地点：揭阳普宁）,3000
10000-14999/月,上海,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",如新（中国）日用保健品有限公司,"审计员 Supervisor, Internal Audit",10000
4500-7000/月,广州,12-29,7000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",广州康业税务师事务所有限公司,审计专员/高级审计员,4500
